run_directory,model,noise_level,model_seed,epoch,training_loss,standard_validation_loss,standard_observed_validation_auc,standard_latent_validation_auc,standard_validation_f1,hole_position_localization_auroc,hole_repair_macro_auc,hole_top1_valid_filling_accuracy,fixed_position_prediction_flip_rate,strict_matched_pair_accuracy,strict_matched_pair_mean_margin,strict_tie_tolerance,snapshot
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,bert_lora,0.3,9950,14,0.6507556508815289,,,,,0.8196859572163118,0.949741897424424,0.951862602805999,0.0078154544308584,0.498,-0.000191162109375,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950/epochs/epoch_014_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,bert_lora,0.3,9950,15,0.6496129596304894,,,,,0.8230064001786612,0.9525976228447516,0.9521044992743106,0.0433631665196016,0.499,-5.609130859375e-05,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950/epochs/epoch_015_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,bert_lora,0.3,9950,16,0.6483880163288116,,,,,0.8292749735005513,0.9526246666012866,0.9542815674891146,0.124038825160721,0.47975,-0.000872314453125,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950/epochs/epoch_016_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,bert_lora,0.3,9950,17,0.6478463347744942,,,,,0.8300348144300682,0.9594158380130487,0.9603289791969036,0.0129837388125551,0.49275,-0.00077783203125,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950/epochs/epoch_017_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,bert_lora,0.3,9950,18,0.6471793076467514,,,,,0.8326421308697398,0.9618127605463536,0.9639574262215772,0.0088239001638724,0.48475,-0.001327392578125,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950/epochs/epoch_018_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,bert_lora,0.3,9950,19,0.6469872672116757,,,,,0.8317130264465138,0.9576966899885276,0.9583938074504113,0.057229295348544,0.49675,-0.000924072265625,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950/epochs/epoch_019_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,bert_lora,0.3,9950,20,0.6464402147054672,,,,,0.8427599469212127,0.9628324540968102,0.9658925979680696,0.0337829320559687,0.49175,-0.001383056640625,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950/epochs/epoch_020_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,llama_lora,0.3,9950,1,0.6760831831264495,,,,,0.6532811595613505,0.9200023366707124,0.8967102080309628,0.0094541787470061,0.49425,-0.0001285400390625,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950/epochs/epoch_001_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,llama_lora,0.3,9950,2,0.6329951596301794,,,,,0.997968838075486,0.9993846908264464,0.9980648282535076,0.0,0.50875,0.0096259765625,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950/epochs/epoch_002_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,llama_lora,0.3,9950,3,0.6164457234722376,,,,,0.9993426136442292,0.9998418032154702,0.9997581035316884,0.0050422286650699,0.66675,0.0930792846679687,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950/epochs/epoch_003_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,llama_lora,0.3,9950,4,0.6154495687818528,,,,,0.9997348682979996,0.999992988508165,1.0,0.0121013487961679,0.8265,0.2079442443847656,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950/epochs/epoch_004_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,llama_lora,0.3,9950,5,0.6146169020712375,,,,,0.9998551304524204,0.9999899209804872,1.0,0.0,0.728,0.16126611328125,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950/epochs/epoch_005_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,llama_lora,0.3,9950,6,0.6141688054180146,,,,,0.9977270330844724,0.999531550620558,0.9995162070633768,0.1491239127694441,0.63625,0.0181298828125,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950/epochs/epoch_006_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,llama_lora,0.3,9950,7,0.6136252784085273,,,,,0.9999527977142386,0.999979841960974,0.9997581035316884,0.0060506743980839,0.75025,0.0813775024414062,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950/epochs/epoch_007_eval.pt
/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950,llama_lora,0.3,9950,8,0.612808425090909,,,,,0.9999599024510488,1.0,1.0,0.0021429471826547,0.701,0.1433042297363281,0.0,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950/epochs/epoch_008_eval.pt
