model,noise_level,model_seed,run_directory,epoch,train_loss,standard_validation_loss,standard_observed_validation_auc,standard_latent_validation_auc,standard_validation_f1,learning_rate,best_epoch_so_far,patience_counter,training_seconds
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,1,0.6815301357626915,0.6694459300231934,0.5848581717817952,0.7592816948160797,0.2846751412429378,1.6666666666666667e-05,1,0,537.0138764381409
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,2,0.6681221464049816,0.6717383199882507,0.5950880000479788,0.7979241281620035,0.4884794890690248,1.914893617021277e-05,1,1,1192.4295845031738
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,3,0.6648554945528508,0.664450483417511,0.5999965285753264,0.8148770255896385,0.3968951820745278,1.8085106382978724e-05,3,0,1848.2718346118927
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,4,0.662735356940031,0.6637582277297973,0.605504069491237,0.8289792019261754,0.4383903740280379,1.7021276595744682e-05,4,0,2504.505977869034
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,5,0.6613718203735351,0.6628203591346741,0.6089743336785474,0.8399407435045552,0.4673168372692834,1.595744680851064e-05,5,0,3157.110503911972
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,6,0.6597848140251636,0.6609208821868896,0.6143277832445461,0.8541796184972363,0.4642896204746801,1.4893617021276596e-05,6,0,3810.732610940933
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,7,0.6583602760827542,0.6604306746482849,0.617044736434327,0.8631227711148747,0.495766408374814,1.3829787234042556e-05,7,0,4363.745129585266
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,8,0.6571470421922206,0.6674940237045288,0.6178856711319353,0.8651314359180806,0.5448406931246507,1.2765957446808513e-05,7,1,4897.978374004364
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,9,0.6557245214498043,0.6566665176582337,0.6238910408949273,0.8801708435165956,0.4927505612042783,1.170212765957447e-05,9,0,5431.193407297134
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,10,0.6546270684683323,0.6573259205436707,0.6261102302116955,0.886335752249947,0.5128944904208741,1.0638297872340426e-05,9,1,5967.873506307602
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,11,0.6535971073484421,0.6569228303909301,0.6300205769256794,0.8956144260531191,0.5347193549170572,9.574468085106385e-06,9,2,6502.31830906868
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,12,0.6525558232927322,0.6518048323249817,0.6327529922988999,0.9017997665520744,0.4917845172892994,8.510638297872341e-06,12,0,7035.163810253143
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,13,0.6513385313737392,0.6538691486740112,0.6344770479587534,0.9083294589641364,0.533320169809458,7.446808510638298e-06,12,1,7569.624506235123
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,14,0.6507556508815289,0.6514007189559936,0.6369605558993141,0.9143414779221822,0.5252576793550362,6.382978723404256e-06,14,0,8101.285903692245
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,15,0.6496129596304894,0.6509960445594788,0.6396484837744264,0.9202335894803813,0.5407225812842037,5.319148936170213e-06,15,0,8635.434690237045
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,16,0.6483880163288116,0.649038666343689,0.6411213998544999,0.9236985306033272,0.5335191990875681,4.255319148936171e-06,16,0,9167.480358362198
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,17,0.6478463347744942,0.6477979781913757,0.6428427282483806,0.9290494249404652,0.5375658161198866,3.191489361702128e-06,17,0,9698.930770397186
bert_lora,0.3,9950,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950,18,0.6471793076467514,0.6480022993850708,0.6432316317703254,0.9290602796789282,0.5391989560329251,2.1276595744680853e-06,17,1,10232.96797657013
